BlastID	VF_ID	VF_code	VFC_code	VF_category	Species
>VFG037470(gb|WP_001105554)	ACICU_RS04565	VF0636	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037482(gb|WP_004748062)	ACICU_RS04570	VF0636	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037490(gb|WP_001240499)	ACICU_RS04575	VF0636	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037497(gb|WP_085947929)	ACICU_RS04580	VF0636	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037505(gb|WP_002002089)	ACICU_RS04585	VF0636	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037513(gb|WP_085947930)	ACICU_RS04590	VF0636	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037521(gb|WP_000837764)	ACICU_RS04595	VF0636	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037529(gb|WP_002062720)	hemO	VF0636	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037537(gb|WP_000359621)	ACICU_RS04605	VF0636	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037547(gb|WP_000061137)	ACICU_RS04610	VF0636	VFC0272	Nutritional/Metabolic factor	Acinetobacter baumannii ACICU
>VFG037560(gb|WP_000790104)	csuA/B	VF0461	VFC0271	Biofilm	Acinetobacter baumannii ACICU
>VFG037586(gb|WP_000876480)	csuB	VF0461	VFC0271	Biofilm	Acinetobacter baumannii ACICU
>VFG037599(gb|WP_001988023)	csuC	VF0461	VFC0271	Biofilm	Acinetobacter baumannii ACICU
>VFG037612(gb|WP_000603301)	csuD	VF0461	VFC0271	Biofilm	Acinetobacter baumannii ACICU
>VFG037625(gb|WP_001022730)	csuE	VF0461	VFC0271	Biofilm	Acinetobacter baumannii ACICU
>VFG037638(gb|WP_193759656)	bap	VF0462	VFC0271	Biofilm	Acinetobacter baumannii ACICU
>VFG037664(gb|WP_001061322)	pgaB	VF0472	VFC0271	Biofilm	Acinetobacter baumannii ACICU
>VFG037678(gb|WP_000866237)	pgaC	VF0472	VFC0271	Biofilm	Acinetobacter baumannii ACICU
>VFG037692(gb|WP_000786639)	pgaD	VF0472	VFC0271	Biofilm	Acinetobacter baumannii ACICU
>VFG037705(gb|WP_000010636)	adeF	VF0504	VFC0271	Biofilm	Acinetobacter baumannii ACICU
>VFG037720(gb|WP_001027056)	adeG	VF0504	VFC0271	Biofilm	Acinetobacter baumannii ACICU
>VFG037735(gb|WP_000633124)	adeH	VF0504	VFC0271	Biofilm	Acinetobacter baumannii ACICU
>VFG037747(gb|WP_001984639)	lpxM	VF0466	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037762(gb|WP_000078878)	lpxL	VF0466	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037777(gb|WP_000867091)	lpsB	VF0466	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037792(gb|WP_000064875)	lpxA	VF0466	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037807(gb|WP_000013434)	lpxB	VF0466	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037822(gb|WP_000240700)	lpxC	VF0466	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037837(gb|WP_000868104)	lpxD	VF0466	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037852(gb|WP_001075965)	ACICU_RS00395	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037867(gb|WP_001165990)	ACICU_RS00400	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037882(gb|WP_000872593)	ACICU_RS00405	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037897(gb|WP_001165095)	tviB	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037912(gb|WP_000939040)	pseB	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037927(gb|WP_000470518)	pseC	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037942(gb|WP_001175206)	pseF	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037957(gb|WP_000666850)	pseG	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037972(gb|WP_000886731)	pseH	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG037987(gb|WP_000037963)	pseI	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG038002(gb|WP_000172211)	ACICU_RS00445	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG038017(gb|WP_001010045)	ACICU_RS00450	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG038047(gb|WP_000994240)	ACICU_RS00460	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG038062(gb|WP_000515955)	ACICU_RS00465	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG038091(gb|WP_000826956)	ACICU_RS00475	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG038105(gb|WP_000591436)	galU	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG038119(gb|WP_000686134)	ACICU_RS00485	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG038132(gb|WP_000045495)	pgi	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG038144(gb|WP_001062908)	galE	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG038155(gb|WP_000209960)	ACICU_RS00500	VF0465	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG038176(gb|WP_000777882)	ompA	VF0464	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG038191(gb|WP_002023245)	abaI	VF0471	VFC0271	Biofilm	Acinetobacter baumannii ACICU
>VFG038205(gb|WP_000446779)	abaR	VF0471	VFC0271	Biofilm	Acinetobacter baumannii ACICU
>VFG038219(gb|WP_000076440)	bfmR	VF0463	VFC0301	Regulation	Acinetobacter baumannii ACICU
>VFG038234(gb|WP_000472465)	bfmS	VF0463	VFC0301	Regulation	Acinetobacter baumannii ACICU
>VFG038249(gb|WP_003384760)	pbpG	VF0468	VFC0258	Immune modulation	Acinetobacter baumannii ACICU
>VFG050303(gb|WP_001045628.1)	ata	VF1333	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050313(gb|WP_004644147.1)	pilM	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050328(gb|WP_000201227.1)	pilN	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050342(gb|WP_000076098.1)	pilO	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050357(gb|WP_000695065.1)	pilP	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050372(gb|WP_001017033.1)	pilQ	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050386(gb|WP_000355489.1)	pilT	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050400(gb|WP_000347039.1)	pilU	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050414(gb|WP_002027454.1)	pilF	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050428(gb|WP_000128073.1)	fimV	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050443(gb|WP_000993715.1)	pilA	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050457(gb|WP_001274990.1)	pilB	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050470(gb|WP_000279216.1)	pilC	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050484(gb|WP_001152285.1)	gspO/pilD	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050499(gb|WP_000755268.1)	tsaP	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050514(gb|WP_001214067.1)	fimU	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050527(gb|WP_002194578.1)	pilV	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050540(gb|WP_000079192.1)	pilW	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050554(gb|WP_000149377.1)	pilX	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050567(gb|WP_000768964.1)	pilY1	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050581(gb|WP_001046420.1)	ACICU_RS16840	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050595(gb|WP_000788342.1)	pilE	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050610(gb|WP_000477147.1)	fimT	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050625(gb|WP_000389061.1)	pilG	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050640(gb|WP_000101096.1)	pilH	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050655(gb|WP_000729757.1)	pilI	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050670(gb|WP_000505931.1)	pilJ	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050685(gb|WP_001160337.1)	pilS	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050699(gb|WP_000840548.1)	pilR	VF1334	VFC0001	Adherence	Acinetobacter baumannii ACICU
>VFG050712(gb|WP_000730343.1)	gspN	VF1335	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050727(gb|WP_000870033.1)	gspC	VF1335	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050742(gb|WP_001196426.1)	gspD	VF1335	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050757(gb|WP_001166319.1)	gspE1	VF1335	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050772(gb|WP_001020922.1)	gspE2	VF1335	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050787(gb|WP_001112089.1)	gspF	VF1335	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050802(gb|WP_000865310.1)	gspG	VF1335	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050817(gb|WP_000841373.1)	gspH	VF1335	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050832(gb|WP_000836911.1)	gspI	VF1335	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050860(gb|WP_000301479.1)	gspK	VF1335	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050874(gb|WP_001989189.1)	gspL	VF1335	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050889(gb|WP_000783000.1)	gspM	VF1335	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050901(gb|WP_005119983.1)	cpaA	VF1336	VFC0251	Exoenzyme	Acinetobacter baumannii BJAB0715
>VFG050910(gb|WP_001178477.1)	vgrG/tssI	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050911(gb|WP_000934999.1)	vgrG/tssI	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050912(gb|WP_000898330.1)	vgrG/tssI	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050946(gb|WP_000083625.1)	tssL	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050959(gb|WP_000556915.1)	tssM	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050972(gb|WP_000972583.1)	tagX	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG050986(gb|WP_001047031.1)	tssE	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG051000(gb|WP_000568832.1)	tssF	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG051014(gb|WP_001190395.1)	tssG	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG051028(gb|WP_000471445.1)	tssK	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG051042(gb|WP_000653195.1)	hcp/tssD	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG051056(gb|WP_001119042.1)	tssB	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG051070(gb|WP_001066523.1)	tssC	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG051084(gb|WP_000020713.1)	tssA	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG051098(gb|WP_002001416.1)	clpV/tssH	VF1337	VFC0086	Effector delivery system	Acinetobacter baumannii ACICU
>VFG051109(gb|YP_001083177.1)	tse1	VF1338	VFC0086	Effector delivery system	Acinetobacter baumannii ATCC 17978
>VFG051110(gb|YP_001083606.1)	tse2	VF1338	VFC0086	Effector delivery system	Acinetobacter baumannii ATCC 17978
>VFG051111(gb|YP_001084320.1)	tse3	VF1338	VFC0086	Effector delivery system	Acinetobacter baumannii ATCC 17978
>VFG051112(gb|YP_001086354.1)	tse4	VF1338	VFC0086	Effector delivery system	Acinetobacter baumannii ATCC 17978
>VFG038261(gb|WP_016352107)	exeA	VF0478	VFC0086	Effector delivery system	Aeromonas hydrophila ML09-119
>VFG038265(gb|WP_016352108)	exeB	VF0478	VFC0086	Effector delivery system	Aeromonas hydrophila ML09-119
>VFG038269(gb|WP_075384415)	exeC	VF0478	VFC0086	Effector delivery system	Aeromonas hydrophila ML09-119
>VFG038273(gb|WP_016349335)	exeD	VF0478	VFC0086	Effector delivery system	Aeromonas hydrophila ML09-119
>VFG038277(gb|WP_016349336)	exeE	VF0478	VFC0086	Effector delivery system	Aeromonas hydrophila ML09-119
>VFG038281(gb|WP_016349337)	exeF	VF0478	VFC0086	Effector delivery system	Aeromonas hydrophila ML09-119
>VFG038285(gb|WP_005308483)	exeG	VF0478	VFC0086	Effector delivery system	Aeromonas hydrophila ML09-119
>VFG038289(gb|WP_016349339)	exeH	VF0478	VFC0086	Effector delivery system	Aeromonas hydrophila ML09-119
>VFG038293(gb|WP_016349340)	exeI	VF0478	VFC0086	Effector delivery system	Aeromonas hydrophila ML09-119
>VFG038297(gb|WP_016349341)	exeJ	VF0478	VFC0086	Effector delivery system	Aeromonas hydrophila ML09-119
>VFG038301(gb|WP_016349342)	exeK	VF0478	VFC0086	Effector delivery system	Aeromonas hydrophila ML09-119
>VFG038305(gb|WP_016349343)	exeL	VF0478	VFC0086	Effector delivery system	Aeromonas hydrophila ML09-119
>VFG038309(gb|WP_016349344)	exeM	VF0478	VFC0086	Effector delivery system	Aeromonas hydrophila ML09-119
>VFG038313(gb|WP_043118380)	exeN	VF0478	VFC0086	Effector delivery system	Aeromonas hydrophila ML09-119
>VFG038317(gb|WP_016352170)	tapD/pilD	VF0475	VFC0001	Adherence	Aeromonas hydrophila ML09-119
>VFG038320(gb|WP_005320812)	ascL	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038321(gb|WP_005320811)	ascK	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038322(gb|WP_180975055)	ascJ	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038323(gb|WP_005320806)	ascI	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038324(gb|WP_005320804)	ascH	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038325(gb|WP_005320802)	ascG	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038326(gb|WP_005320800)	ascF	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038327(gb|WP_005320797)	ascE	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038328(gb|WP_005320795)	ascD	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038329(gb|WP_011899438)	ascC	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038330(gb|WP_011899439)	ascB	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038331(gb|WP_005320790)	exsD	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038332(gb|WP_192914500)	exsA	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038333(gb|WP_011899440)	exsB	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038334(gb|WP_005320785)	exsE	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038335(gb|WP_005320783)	exsC	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038336(gb|WP_005320781)	aopD	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038337(gb|WP_005320780)	aopB	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038338(gb|WP_005320778)	acrH	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038339(gb|WP_005320777)	acrV	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038340(gb|WP_005320774)	acrG	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038341(gb|WP_005320772)	acrR	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038342(gb|WP_005320770)	ascV	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038343(gb|WP_005320768)	ascY	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038344(gb|WP_005320766)	ascX	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038345(gb|WP_005320764)	acr2	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038346(gb|WP_005320760)	acr1	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038347(gb|WP_005320757)	aopN	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038348(gb|WP_005320755)	ascN	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038349(gb|WP_005320751)	ascO	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038350(gb|WP_005320749)	ascP	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038351(gb|WP_005320747)	ascQ	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038352(gb|WP_005320745)	ascR	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038353(gb|WP_005320743)	ascS	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038354(gb|WP_005320741)	ascT	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038355(gb|WP_005320739)	ascU	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038357(gb|WP_005320736)	sycX	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038358(gb|WP_005321603)	sycH	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038359(gb|WP_005321607)	aopH	VF0652	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038360(gb|WP_011899436)	ati2	VF0652	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038361(gb|WP_005320818)	ati1	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038362(gb|WP_005321180)	sycO	VF0479	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038363(gb|WP_005321178)	aopO	VF0652	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038364(gb|WP_005320615)	aexT	VF0652	VFC0086	Effector delivery system	Aeromonas salmonicida subsp. salmonicida A449
>VFG038365(gb|WP_011705044)	hcp1	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038367(gb|WP_011705045)	vgrG1	VF0651	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038369(gb|WP_011705706)	hcp	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038371(gb|WP_011705707)	vgrG2	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038373(gb|WP_011705708)	atsA	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038374(gb|WP_011705709)	atsB	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038375(gb|WP_011705710)	atsC	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038376(gb|WP_164927604)	atsD	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038378(gb|WP_011705712)	vipA	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038380(gb|WP_043163044)	vipB	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038381(gb|WP_011705714)	atsG	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038383(gb|WP_011705715)	atsH	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038385(gb|WP_011705716)	atsI	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038387(gb|WP_011705717)	atsJ	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038389(gb|WP_011705718)	atsK	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038391(gb|WP_011705719)	atsL	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038393(gb|WP_010634228)	dotU	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038395(gb|WP_011705721)	clpB	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038397(gb|WP_011705722)	vasH	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038399(gb|WP_011705723)	atsP	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038401(gb|WP_011705724)	atsQ	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038402(gb|WP_011705725)	vasK/icmF	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038403(gb|WP_011705726)	atsS	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038405(gb|WP_011705727)	AHA_RS09305	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038407(gb|WP_011705728)	vgrG3	VF0480	VFC0086	Effector delivery system	Aeromonas hydrophila subsp. hydrophila ATCC 7966
>VFG038409(gb|WP_011704492)	fimA	VF0486	VFC0001	Adherence	Aeromonas hydrophila ML09-119
>VFG038413(gb|WP_043118350)	fimC	VF0486	VFC0001	Adherence	Aeromonas hydrophila ML09-119
>VFG038417(gb|WP_016349294)	fimD	VF0486	VFC0001	Adherence	Aeromonas hydrophila ML09-119
>VFG038421(gb|WP_043118352)	fimE	VF0486	VFC0001	Adherence	Aeromonas hydrophila ML09-119
>VFG038425(gb|WP_016349296)	fimF	VF0486	VFC0001	Adherence	Aeromonas hydrophila ML09-119
>VFG038429(gb|WP_016352167)	tapA	VF0475	VFC0001	Adherence	Aeromonas hydrophila ML09-119
>VFG038432(gb|WP_016352168)	tapB	VF0475	VFC0001	Adherence	Aeromonas hydrophila ML09-119
